State Abbreviation,State,District Number,Voting-Age Population,Men,Women,Above Poverty Level,Below Poverty Level,Congressional District
NC,North Carolina,5,572721,271575,301146,550670,76313,North Carolina-5
NC,North Carolina,6,567392,268248,299144,555732,62094,North Carolina-6
NC,North Carolina,7,613510,291864,321646,598995,81576,North Carolina-7
NC,North Carolina,8,581896,280980,300916,560326,64418,North Carolina-8
NC,North Carolina,9,561804,267655,294149,548599,56464,North Carolina-9
NC,North Carolina,10,585102,277020,308082,572654,70692,North Carolina-10
NC,North Carolina,11,604505,289081,315424,591536,74390,North Carolina-11
NC,North Carolina,12,591843,275402,316441,581131,54940,North Carolina-12
NC,North Carolina,13,579274,271691,307583,560122,65082,North Carolina-13
ND,North Dakota,At-large,567351,291026,276325,546513,57163,North Dakota-At-large
OH,Ohio,1,541695,262456,279239,522774,61323,Ohio-1
OH,Ohio,2,557971,267271,290700,550012,65318,Ohio-2
OH,Ohio,3,560963,262190,298773,543140,87584,Ohio-3
OH,Ohio,4,542874,269636,273238,517764,53877,Ohio-4
OH,Ohio,5,549171,265489,283682,533728,49753,Ohio-5
OH,Ohio,6,545803,271382,274421,526363,78256,Ohio-6
OH,Ohio,7,557024,267916,289108,544781,55197,Ohio-7
OH,Ohio,8,546406,263947,282459,532437,53264,Ohio-8
OH,Ohio,9,545749,263532,282217,534835,89928,Ohio-9
OH,Ohio,10,552514,263435,289079,526770,71539,Ohio-10
OH,Ohio,11,524803,238090,286713,507302,107065,Ohio-11
OH,Ohio,12,585940,290618,295322,569339,49050,Ohio-12
OH,Ohio,13,559931,268927,291004,541535,80108,Ohio-13
OH,Ohio,14,553668,266077,287591,544116,36742,Ohio-14
OH,Ohio,15,586092,292487,293605,556465,61556,Ohio-15
OH,Ohio,16,553316,269087,284229,543064,33622,Ohio-16
OK,Oklahoma,1,565812,270452,295360,558168,62121,Oklahoma-1
OK,Oklahoma,2,564213,275370,288843,543589,91676,Oklahoma-2
OK,Oklahoma,3,571661,285869,285792,545818,71757,Oklahoma-3
OK,Oklahoma,4,589702,291854,297848,563986,66997,Oklahoma-4
OK,Oklahoma,5,561277,266722,294555,547860,72937,Oklahoma-5
OR,Oregon,1,606198,294448,311750,596872,48348,Oregon-1
OR,Oregon,2,619186,305421,313765,605564,73367,Oregon-2
OR,Oregon,3,627716,309299,318417,616973,65208,Oregon-3
OR,Oregon,4,638548,313807,324741,626815,96381,Oregon-4
OR,Oregon,5,606523,295492,311031,595610,60545,Oregon-5
PA,Pennsylvania,1,544860,264421,280439,537518,27607,Pennsylvania-1
PA,Pennsylvania,2,496510,234087,262423,487446,105114,Pennsylvania-2
PA,Pennsylvania,3,564612,253086,311526,538968,113844,Pennsylvania-3
PA,Pennsylvania,4,543723,260436,283287,528636,28462,Pennsylvania-4
PA,Pennsylvania,5,519983,243516,276467,498676,45199,Pennsylvania-5
PA,Pennsylvania,6,522912,252469,270443,507935,39976,Pennsylvania-6
PA,Pennsylvania,7,552078,267694,284384,533234,53161,Pennsylvania-7
PA,Pennsylvania,8,535133,261619,273514,516034,59557,Pennsylvania-8
PA,Pennsylvania,9,555775,277295,278480,528749,49237,Pennsylvania-9
PA,Pennsylvania,10,552761,266462,286299,531726,46291,Pennsylvania-10
PA,Pennsylvania,11,553568,269825,283743,543005,37367,Pennsylvania-11
PA,Pennsylvania,12,551022,273160,277862,516051,66048,Pennsylvania-12
PA,Pennsylvania,13,545111,268312,276799,523708,52637,Pennsylvania-13
PA,Pennsylvania,14,551164,268241,282923,534212,50791,Pennsylvania-14
PA,Pennsylvania,15,548615,278000,270615,519562,57901,Pennsylvania-15
PA,Pennsylvania,16,539710,262719,276991,513587,64498,Pennsylvania-16
PA,Pennsylvania,17,559285,270617,288668,552462,41481,Pennsylvania-17
