State,State Abbreviation,District Number,Congressional District,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Men,Women,Above Poverty Level,Below Poverty Level,Less than 9th Grade,"9th to 12 Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate Degree,High School or More,Bachelor's Degree or More,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic
California,CA,51,CA-51,445034,133614,114319,124841,72260,231666,213368,417314,61130,38878,50724,123014,129769,31732,51404,19513,355432,70917,288652,38528,41241,N,N,55092,15511,275718,80486
California,CA,52,CA-52,546843,125910,142801,170845,107287,277751,269092,523070,39255,10373,13673,73004,112056,38826,171061,127850,522797,298911,396684,21380,86599,N,N,15819,21843,68051,351596
California,CA,53,CA-53,563962,150613,157739,162309,93301,280508,283454,555546,53727,14869,25197,110391,158624,51232,135825,67824,523896,203649,382461,47426,75888,N,N,26884,25410,161670,261411
Colorado,CO,1,CO-1,619349,152364,196712,172432,97841,309603,309746,607672,55734,13793,32499,104087,119160,35245,196881,117684,573057,314565,506072,45513,17469,N,N,23219,20096,119977,418148
Colorado,CO,2,CO-2,619285,152308,147134,199517,120326,309961,309324,599732,58303,4237,15601,97110,143708,44309,191323,122997,599447,314320,576504,N,13255,N,N,6147,14535,46193,540357
Colorado,CO,3,CO-3,565901,109523,129319,189023,138036,280001,285900,552902,67233,12223,37687,158596,141449,46311,113999,55636,515991,169635,514091,N,4563,13233,N,19146,9553,109815,432148
Colorado,CO,4,CO-4,598599,117673,156792,208777,115357,302689,295910,583283,44288,13104,32566,146395,148746,55953,139737,62098,552929,201835,548225,8010,10268,N,N,11070,15269,101117,465288
Colorado,CO,5,CO-5,603967,145787,153131,192123,112926,309714,294253,575663,48574,9193,29318,135266,161139,63094,125883,80074,565456,205957,507651,36260,12558,N,N,15684,24563,79608,454724
Colorado,CO,6,CO-6,567801,113465,156336,200412,97588,277947,289854,562482,30122,9462,22659,126885,123362,52458,150079,82896,535680,232975,445319,54258,26492,N,N,16198,18358,82000,388277
Colorado,CO,7,CO-7,576138,124489,162759,180307,108583,283711,292427,567731,43603,14180,39124,148551,132222,43442,129777,68842,522834,198619,515075,9840,14416,N,N,14676,16322,127630,411026
Connecticut,CT,1,CT-1,523004,99742,117559,184595,121108,247490,275514,513017,48741,14315,31958,148797,102532,43400,105117,76885,476731,182002,389864,74654,18123,N,N,25590,13819,76120,349882
Connecticut,CT,2,CT-2,548572,113923,111653,198909,124087,272014,276558,512850,42018,7574,27150,156233,129221,47580,106314,74500,513848,180814,490483,21561,12282,N,N,9461,12947,34236,471406
Connecticut,CT,3,CT-3,535024,117352,114121,182421,121130,251948,283076,511818,49435,14528,27752,167980,107489,38650,96740,81885,492744,178625,415047,73000,16583,N,N,20078,9426,65126,376872
