State,District Number,Congressional District,Voting-Age Population,Above Poverty Level,Below Poverty Level
Tennessee,5,TN-5,563797,545555,62163
Tennessee,6,TN-6,591603,580485,63405
Tennessee,7,TN-7,578288,561453,61291
Tennessee,8,TN-8,525277,508600,59907
Tennessee,9,TN-9,507231,494516,104034
Texas,1,TX-1,511974,489794,66257
Texas,2,TX-2,520180,513178,45949
Texas,3,TX-3,563318,559484,31157
Texas,4,TX-4,543354,527224,60598
Texas,5,TX-5,480610,457691,49171
Texas,6,TX-6,554709,548599,40104
Texas,7,TX-7,448262,447412,32347
Texas,8,TX-8,584039,554256,51546
Texas,9,TX-9,445634,443690,60975
Texas,10,TX-10,593629,583103,45323
Texas,11,TX-11,542570,524915,56229
Texas,12,TX-12,572411,560045,51359
Texas,13,TX-13,493390,462703,54698
Texas,14,TX-14,532153,501418,55633
Texas,15,TX-15,435170,423944,69316
Texas,16,TX-16,458940,446926,66463
Texas,17,TX-17,550601,522495,86479
Texas,18,TX-18,480387,462858,75981
Texas,19,TX-19,509891,478854,73898
Texas,20,TX-20,549483,538664,78203
Texas,21,TX-21,622228,609561,62856
Texas,22,TX-22,577164,572542,37033
Texas,23,TX-23,507547,495087,64674
Texas,24,TX-24,503766,501043,27589
Texas,25,TX-25,570238,538733,49268
Texas,26,TX-26,605249,596433,37984
Texas,27,TX-27,517267,504347,66523
Texas,28,TX-28,434305,431020,71215
Texas,29,TX-29,369239,368373,53056
Texas,30,TX-30,479082,466444,80570
Texas,31,TX-31,602236,588627,45276
Texas,32,TX-32,505867,501485,33312
Texas,33,TX-33,360226,356444,57028
Texas,34,TX-34,424863,410889,76627
Texas,35,TX-35,532967,519488,89634
Texas,36,TX-36,519385,500765,53382
Utah,1,UT-1,521517,515287,40922
Utah,2,UT-2,529608,518139,54116
Utah,3,UT-3,517848,505535,48167
Utah,4,UT-4,518368,513240,27894
Vermont,At-large,VT-At-large,500274,478729,51013
Virginia,1,VA-1,590281,575553,32713
Virginia,2,VA-2,559397,525667,39039
Virginia,3,VA-3,559137,534234,67289
Virginia,4,VA-4,579606,552122,69142
Virginia,5,VA-5,578531,549679,71010
Virginia,6,VA-6,582756,551076,74487
Virginia,7,VA-7,588061,579054,42425
Virginia,8,VA-8,533417,528006,29010
Virginia,9,VA-9,567315,537046,101298
Virginia,10,VA-10,565197,561118,18701
Virginia,11,VA-11,509988,503481,28904
Washington,1,WA-1,519555,513626,31799
Washington,2,WA-2,558321,547881,51230
Washington,3,WA-3,544994,540961,46668
Washington,4,WA-4,443137,436739,48302
Washington,5,WA-5,551532,528622,71510
Washington,6,WA-6,570991,555996,50470
Washington,7,WA-7,600321,585893,51450
Washington,8,WA-8,522952,518688,34677
Washington,9,WA-9,499184,492776,44073
Washington,10,WA-10,544552,533246,46965
West Virginia,1,WV-1,486327,467069,68380
West Virginia,2,WV-2,487208,477780,65445
West Virginia,3,WV-3,457623,444168,88765
Wisconsin,1,WI-1,539789,527799,43388
Wisconsin,2,WI-2,577976,563251,59134
Wisconsin,3,WI-3,566700,539696,65049
Wisconsin,4,WI-4,493143,478705,89003
Wisconsin,5,WI-5,558805,548155,34963
Wisconsin,6,WI-6,556485,535367,44006
Wisconsin,7,WI-7,552651,542845,48200
Wisconsin,8,WI-8,556205,544705,41391
Wyoming,At-large,WY-At-large,433644,422610,42105
