State Abbreviation,State,District Number,Voting-Age Population,White,Black,Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,Hispanic,White Non-Hispanic,Congressional District
KY,Kentucky,5,537877,525043,7435,N,N,N,N,N,2761,523013,KY-5
KY,Kentucky,6,581992,510833,50296,6486,N,N,2552,11851,9886,504284,KY-6
LA,Louisiana,1,594231,481558,83543,10143,7301,N,4112,7990,32247,456106,LA-1
LA,Louisiana,2,587115,196226,365548,9691,N,N,5976,8638,20855,183058,LA-2
LA,Louisiana,3,577604,420921,140311,4398,N,N,2350,8333,14482,409305,LA-3
LA,Louisiana,4,559310,349404,188481,4016,N,N,4193,9015,15146,340455,LA-4
LA,Louisiana,5,555804,351763,191610,2581,N,N,2772,5996,8930,345989,LA-5
LA,Louisiana,6,585015,427098,135054,7651,N,N,2631,9963,13388,417345,LA-6
ME,Maine,1,546625,523065,4832,6318,N,N,N,9504,9152,516350,ME-1
ME,Maine,2,524036,504203,3444,2111,4657,N,N,9244,5918,500004,ME-2
MD,Maryland,1,567926,479256,67759,8288,N,N,2982,8731,13559,470557,MD-1
MD,Maryland,2,560167,323003,188784,24835,N,N,6579,15272,24317,309612,MD-2
MD,Maryland,3,545892,369823,118047,34330,N,N,8064,13885,28000,354564,MD-3
MD,Maryland,4,503398,156560,294846,13788,N,N,23279,14139,38317,145950,MD-4
MD,Maryland,5,556897,280604,223875,21240,N,N,12694,16235,29866,267368,MD-5
MD,Maryland,6,523698,379330,70654,46840,N,N,10979,13954,43603,351139,MD-6
MD,Maryland,7,528398,199610,283515,26141,N,N,3712,13432,14254,191424,MD-7
MD,Maryland,8,533774,380121,66901,43419,N,N,24354,17589,54337,354289,MD-8
MA,Massachusetts,1,568024,499193,34587,8899,N,N,14892,8920,89732,430962,MA-1
MA,Massachusetts,2,558962,492821,21037,22444,N,N,9865,11041,45931,460130,MA-2
MA,Massachusetts,3,543580,434252,21573,32981,N,N,41121,11848,79786,401996,MA-3
MA,Massachusetts,4,559943,500494,14662,26307,N,N,8756,8668,21613,486415,MA-4
MA,Massachusetts,5,535109,441170,25571,44109,N,N,9309,14385,37051,417609,MA-5
MA,Massachusetts,6,577241,514726,20886,20960,N,N,10401,8878,37241,492977,MA-6
MA,Massachusetts,7,558430,322232,133572,48466,N,N,29098,22095,86346,281804,MA-7
MA,Massachusetts,8,561241,451130,51412,34006,N,N,12980,10407,25380,437245,MA-8
MA,Massachusetts,9,573274,520971,14079,6223,N,N,20564,9796,25238,511335,MA-9
MI,Michigan,1,564858,526005,8008,2318,13991,N,N,12946,7068,521391,MI-1
MI,Michigan,2,551323,483612,31227,10108,4143,N,12026,10915,36598,462160,MI-2
MI,Michigan,3,551028,481704,41431,6985,N,N,5726,13090,26456,464680,MI-3
MI,Michigan,4,554938,526676,10988,3224,N,N,N,7859,15030,515278,MI-4
MI,Michigan,5,520558,415581,86291,3630,N,N,N,11210,20993,399720,MI-5
MI,Michigan,6,541981,473725,41084,5902,N,N,3935,15409,20545,459777,MI-6
MI,Michigan,7,548462,506913,21043,4514,N,N,3757,10629,18784,492488,MI-7
MI,Michigan,8,554462,491959,30808,15727,N,N,3539,11053,23746,474565,MI-8
MI,Michigan,9,552114,447958,74602,16366,N,N,N,9518,11679,438566,MI-9
MI,Michigan,10,553804,516738,17298,8270,N,N,N,7652,13094,506372,MI-10
MI,Michigan,11,534817,456915,28362,36706,N,N,1984,9763,10805,447997,MI-11
MI,Michigan,12,526943,427794,57547,20590,N,N,5506,13673,25373,408989,MI-12
MI,Michigan,13,474739,189735,263216,4158,N,N,7211,8375,20615,178151,MI-13
MI,Michigan,14,512851,184289,296868,15811,N,N,3012,11358,14057,173468,MI-14
MN,Minnesota,1,500330,468265,10688,9395,N,N,4704,5515,17539,456613,MN-1
MN,Minnesota,2,511914,456311,19080,19304,N,N,5480,9119,19926,443431,MN-2
MN,Minnesota,3,517834,444126,30981,28398,N,N,3228,10119,11512,436516,MN-3
MN,Minnesota,4,510862,397340,42928,46885,N,N,6263,13954,21515,384868,MN-4
MN,Minnesota,5,517155,395730,68758,21618,6451,N,7921,16732,21973,384238,MN-5
MN,Minnesota,6,525551,490648,11041,10362,N,N,3251,8516,12087,482683,MN-6
MN,Minnesota,7,495727,464118,5225,2580,11787,N,4601,7435,13527,456881,MN-7
MN,Minnesota,8,527541,496067,5830,3378,12081,N,1031,9265,6662,491785,MN-8
MS,Mississippi,1,577880,402803,160869,2353,N,N,3551,6912,9613,397756,MS-1
MS,Mississippi,2,523479,177092,340371,N,N,N,N,N,5263,174095,MS-2
MS,Mississippi,3,559913,345797,200767,3288,5056,N,N,N,5431,342068,MS-3
MS,Mississippi,4,579386,426215,135118,6514,N,N,3910,7129,15661,416172,MS-4
MO,Missouri,1,549361,260192,261201,10437,N,N,4424,11462,11442,252875,MO-1
MO,Missouri,2,575828,523122,22595,20250,N,N,N,6756,11665,514031,MO-2
MO,Missouri,3,602748,567355,21213,3000,N,N,N,8782,8947,560137,MO-3
MO,Missouri,4,584925,532568,25895,5980,N,N,2765,13236,16368,519509,MO-4
MO,Missouri,5,573775,421069,120397,6030,N,1284,9296,13740,33905,398974,MO-5
MO,Missouri,6,583457,535210,26559,5525,N,N,2967,10712,16447,523778,MO-6
MO,Missouri,7,595559,554030,12611,5598,N,N,3458,12883,18291,541114,MO-7
MO,Missouri,8,567717,528067,25045,N,N,N,N,8143,6686,522714,MO-8
MT,Montana,At-large,823668,747646,N,4509,43804,N,3505,19621,24492,729822,MT-At-large
NE,Nebraska,1,473676,432846,11693,7877,5246,N,4213,11469,27352,412429,NE-1
NE,Nebraska,2,467041,398060,42207,8924,N,N,5956,9518,30190,375412,NE-2
NE,Nebraska,3,439543,415335,4793,1949,4072,N,6623,6948,29497,394655,NE-3
NV,Nevada,1,418811,240100,61200,35413,6037,N,55335,17732,125193,179068,NV-1
NV,Nevada,2,531489,440975,11815,19573,13474,N,29893,13627,82341,394263,NV-2
NV,Nevada,3,607915,413307,51247,77180,N,N,33388,26261,92471,360201,NV-3
NV,Nevada,4,516951,337862,78071,32696,7291,N,36795,20134,112161,271379,NV-4
NH,New Hampshire,1,540224,510514,8240,8736,N,N,N,8689,13975,500722,NH-1
NH,New Hampshire,2,529588,502531,6668,8458,N,N,2377,7885,17289,489481,NH-2
NJ,New Jersey,1,542034,384778,94492,25320,N,N,25639,11236,57115,361446,NJ-1
NJ,New Jersey,2,531339,417570,64200,17255,N,N,19140,11119,59922,382079,NJ-2
NJ,New Jersey,3,570276,470331,62569,16440,N,N,7935,11905,36899,445649,NJ-3
NJ,New Jersey,4,539643,472751,32469,23529,N,N,5888,4677,40667,439223,NJ-4
NJ,New Jersey,5,527932,436719,27896,44427,N,N,6318,11156,58275,389518,NJ-5
NJ,New Jersey,6,502463,344954,59427,65641,N,N,17983,11963,97590,271555,NJ-6
NJ,New Jersey,7,527076,435194,27632,45740,N,N,9733,7894,49423,399594,NJ-7
NJ,New Jersey,8,425604,256512,49683,31256,N,N,69813,16495,206013,139594,NJ-8
NJ,New Jersey,9,481499,311111,50941,54218,N,N,53404,10446,153807,219280,NJ-9
NJ,New Jersey,10,496051,157432,265501,28602,N,N,34692,8905,82975,113784,NJ-10
NJ,New Jersey,11,548734,467549,21897,43139,N,N,6978,8350,54585,423558,NJ-11
NJ,New Jersey,12,505683,319979,97561,61677,N,N,14042,10815,59774,281355,NJ-12
NM,New Mexico,1,514775,417352,15860,11369,22993,N,30972,17324,227966,233565,NM-1
NM,New Mexico,2,484702,410561,13404,3104,27930,N,21768,8709,234915,204305,NM-2
NM,New Mexico,3,507907,347776,7966,5215,93824,N,41017,11024,184798,213905,NM-3
NY,New York,1,530436,469195,29343,18748,N,N,5522,6247,55664,421406,NY-1
NY,New York,2,515987,421557,47721,13120,N,N,20918,10552,87360,360821,NY-2
NY,New York,3,521235,408617,17405,74896,N,N,12848,7092,42108,380673,NY-3
NY,New York,4,506457,350417,81188,32489,2228,N,29611,10130,73896,313427,NY-4
NY,New York,5,501784,95312,269186,63666,N,N,54170,16620,74850,68351,NY-5
NY,New York,6,448065,228818,22546,147288,N,N,32697,13803,84837,183511,NY-6
NY,New York,7,446196,242486,54545,63755,N,N,61784,20857,162390,163314,NY-7
NY,New York,8,540660,182080,277437,31107,N,N,32944,16097,83725,149722,NY-8
NY,New York,9,486880,184024,233493,35330,N,N,19299,13728,49463,165596,NY-9
NY,New York,10,473542,350656,19480,75831,N,N,12426,13710,51569,318583,NY-10
NY,New York,11,500998,368224,38364,65850,N,N,19320,8354,75157,319638,NY-11
NY,New York,12,530252,405117,28927,61225,N,N,19638,13580,59475,369801,NY-12
NY,New York,13,505003,143641,167679,19387,N,N,137339,29826,245898,86581,NY-13
NY,New York,14,392398,187370,58500,59258,2015,N,71750,13505,162309,115010,NY-14
NY,New York,15,410819,79708,166569,8258,4016,N,133968,17008,250878,14264,NY-15
NY,New York,16,498243,249916,161995,23001,N,N,47451,14310,111353,202591,NY-16
NY,New York,17,502861,373395,55706,30787,N,N,32269,9914,78084,334031,NY-17
NY,New York,18,524373,421348,52016,12453,N,N,25176,12195,69835,384776,NY-18
NY,New York,19,553713,499819,28573,5960,N,N,7513,10473,31643,479384,NY-19
NY,New York,20,557251,463732,48962,17189,N,N,9090,15050,32170,447852,NY-20
NY,New York,21,551303,510069,18316,5149,N,N,6012,7425,15403,502575,NY-21
NY,New York,22,539437,495348,21123,9748,N,N,4461,7574,15948,486757,NY-22
NY,New York,23,544564,500861,15759,8850,3285,N,7985,7628,18167,492224,NY-23
NY,New York,24,539797,474013,41560,9619,N,N,3618,8527,19512,462060,NY-24
NY,New York,25,543698,431515,78070,12161,N,N,9689,9827,39989,406885,NY-25
NY,New York,26,539694,407858,92005,12470,N,N,13261,11702,30730,395376,NY-26
NY,New York,27,564383,534723,13687,4589,N,N,3707,5114,10931,528120,NY-27
NC,North Carolina,1,566173,280421,254956,7907,4967,N,7051,10620,19273,270264,NC-1
NC,North Carolina,2,601142,444665,119621,9392,N,N,9924,14159,30892,426822,NC-2
NC,North Carolina,3,579504,434029,118178,5943,N,N,5875,13032,32821,411242,NC-3
NC,North Carolina,4,624834,411527,146679,35825,N,N,10929,17827,33104,393780,NC-4
NC,North Carolina,5,572721,466868,85452,4699,N,N,5021,7024,19976,452028,NC-5
NC,North Carolina,6,567392,424602,119618,6507,N,N,5973,9115,20646,410991,NC-6
NC,North Carolina,7,613510,469998,118488,5780,N,N,5532,9136,23421,453215,NC-7
NC,North Carolina,8,581896,403599,135482,10986,6373,N,9366,15169,39927,376894,NC-8
NC,North Carolina,9,561804,372678,114021,12784,46404,N,5792,10192,22046,360064,NC-9
NC,North Carolina,10,585102,490630,72610,7352,N,N,4876,8227,18328,477282,NC-10
NC,North Carolina,11,604505,558971,19383,5123,8500,N,4014,8761,17019,547147,NC-11
NC,North Carolina,12,591843,300205,241622,18524,N,N,15765,13675,39878,281602,NC-12
NC,North Carolina,13,579274,418093,128571,11668,N,N,5810,12172,20610,405021,NC-13
ND,North Dakota,At-large,567351,507582,13529,3741,26810,N,N,9794,16825,497987,ND-At-large
OH,Ohio,1,541695,408101,110142,9566,N,N,1488,11816,9240,401223,OH-1
OH,Ohio,2,557971,491315,49326,5822,N,N,N,8794,6748,486127,OH-2
OH,Ohio,3,560963,340692,176124,16451,N,N,8231,17728,20280,330269,OH-3
OH,Ohio,4,542874,497072,29506,3577,N,N,N,7578,17159,484081,OH-4
OH,Ohio,5,549171,510516,16042,4916,N,N,7476,9328,22718,497742,OH-5
OH,Ohio,6,545803,522541,11949,N,N,N,N,6885,4139,519628,OH-6
OH,Ohio,7,557024,524020,19576,2541,N,N,N,8307,7516,517963,OH-7
OH,Ohio,8,546406,495127,31555,7559,N,N,2046,9717,9288,488253,OH-8
OH,Ohio,9,545749,429379,80260,6204,N,N,11416,15979,52906,396171,OH-9
OH,Ohio,10,552514,439582,87640,8761,N,N,N,13259,10696,431513,OH-10
OH,Ohio,11,524803,226407,269913,8086,N,N,5232,13329,17237,216076,OH-11
OH,Ohio,12,585940,528755,28752,13546,N,N,N,11981,11415,520414,OH-12
OH,Ohio,13,559931,477923,60746,6651,N,N,N,10148,N,465719,OH-13
OH,Ohio,14,553668,510204,26638,8399,N,N,1973,6981,11531,500765,OH-14
OH,Ohio,15,586092,534595,27259,10215,N,N,N,11631,8845,528345,OH-15
OH,Ohio,16,553316,518260,17301,8248,N,N,1542,7381,9945,510246,OH-16
OK,Oklahoma,1,565812,430528,47764,10687,35350,N,6006,35447,34808,403810,OK-1
OK,Oklahoma,2,564213,395157,19853,2554,94348,537,4477,47835,17417,386314,OK-2
