State,District Number,Congressional District,Voting-Age Population,Men,Women
Pennsylvania,13,PA-13,545111,268312,276799
Pennsylvania,14,PA-14,551164,268241,282923
Pennsylvania,15,PA-15,548615,278000,270615
Pennsylvania,16,PA-16,539710,262719,276991
Pennsylvania,17,PA-17,559285,270617,288668
Pennsylvania,18,PA-18,544390,254384,290006
Rhode Island,1,RI-1,395409,188916,206493
Rhode Island,2,RI-2,407668,195852,211816
South Carolina,1,SC-1,613912,295032,318880
South Carolina,2,SC-2,537342,255658,281684
South Carolina,3,SC-3,534772,258621,276151
South Carolina,4,SC-4,533533,251842,281691
South Carolina,5,SC-5,552247,262084,290163
South Carolina,6,SC-6,506843,241997,264846
South Carolina,7,SC-7,571428,265082,306346
South Dakota,At-large,SD-At-large,647089,323519,323570
Tennessee,1,TN-1,563918,271986,291932
Tennessee,2,TN-2,583056,278806,304250
Tennessee,3,TN-3,571456,274322,297134
Tennessee,4,TN-4,590540,284223,306317
Tennessee,5,TN-5,563797,267201,296596
Tennessee,6,TN-6,591603,286118,305485
Tennessee,7,TN-7,578288,283131,295157
Tennessee,8,TN-8,525277,252231,273046
Tennessee,9,TN-9,507231,229788,277443
Texas,1,TX-1,511974,243891,268083
Texas,2,TX-2,520180,252870,267310
Texas,3,TX-3,563318,267900,295418
Texas,4,TX-4,543354,264225,279129
Texas,5,TX-5,480610,237717,242893
Texas,6,TX-6,554709,265398,289311
Texas,7,TX-7,448262,209156,239106
Texas,8,TX-8,584039,292242,291797
Texas,9,TX-9,445634,211591,234043
Texas,10,TX-10,593629,288737,304892
Texas,11,TX-11,542570,270606,271964
Texas,12,TX-12,572411,275420,296991
Texas,13,TX-13,493390,251525,241865
Texas,14,TX-14,532153,266577,265576
Texas,15,TX-15,435170,216790,218380
Texas,16,TX-16,458940,227861,231079
Texas,17,TX-17,550601,266019,284582
Texas,18,TX-18,480387,233867,246520
Texas,19,TX-19,509891,253073,256818
Texas,20,TX-20,549483,266701,282782
Texas,21,TX-21,622228,300234,321994
Texas,22,TX-22,577164,283653,293511
Texas,23,TX-23,507547,255762,251785
Texas,24,TX-24,503766,241559,262207
Texas,25,TX-25,570238,286160,284078
Texas,26,TX-26,605249,293998,311251
Texas,27,TX-27,517267,249089,268178
Texas,28,TX-28,434305,211486,222819
Texas,29,TX-29,369239,184052,185187
Texas,30,TX-30,479082,226629,252453
Texas,31,TX-31,602236,291279,310957
Texas,32,TX-32,505867,241389,264478
Texas,33,TX-33,360226,177253,182973
Texas,34,TX-34,424863,210491,214372
Texas,35,TX-35,532967,267072,265895
Texas,36,TX-36,519385,256534,262851
Utah,1,UT-1,521517,261025,260492
Utah,2,UT-2,529608,266242,263366
Utah,3,UT-3,517848,257021,260827
Utah,4,UT-4,518368,257209,261159
Vermont,At-large,VT-At-large,500274,244517,255757
Virginia,1,VA-1,590281,288174,302107
Virginia,2,VA-2,559397,278026,281371
Virginia,3,VA-3,559137,265323,293814
Virginia,4,VA-4,579606,277950,301656
Virginia,5,VA-5,578531,277524,301007
Virginia,6,VA-6,582756,278155,304601
