State Abbreviation,State,District Number,Voting-Age Population,18-29 Years Old,30-44 Years Old,45-64 Years Old,65+ Years Old,Congressional District
NM,New Mexico,1,514775,109072,124471,166781,114451,NM-1
NM,New Mexico,2,484702,111415,110639,144518,118130,NM-2
NM,New Mexico,3,507907,95645,121837,162932,127493,NM-3
NY,New York,1,530436,100287,107433,196082,126634,NY-1
NY,New York,2,515987,103396,114796,192105,105690,NY-2
NY,New York,3,521235,84043,94788,201571,140833,NY-3
NY,New York,4,506457,97115,114081,175392,119869,NY-4
NY,New York,5,501784,108297,116210,177019,100258,NY-5
NY,New York,6,448065,79930,102886,155921,109328,NY-6
NY,New York,7,446196,118165,128013,126083,73935,NY-7
NY,New York,8,540660,122947,146729,159129,111855,NY-8
NY,New York,9,486880,106689,133320,145744,101127,NY-9
NY,New York,10,473542,104610,124335,138764,105833,NY-10
NY,New York,11,500998,94271,113514,176250,116963,NY-11
NY,New York,12,530252,138958,160540,125681,105073,NY-12
NY,New York,13,505003,132278,138772,147730,86223,NY-13
NY,New York,14,392398,84822,108371,121605,77600,NY-14
NY,New York,15,410819,118087,97836,125599,69297,NY-15
NY,New York,16,498243,97670,110557,170078,119938,NY-16
NY,New York,17,502861,99453,107969,177154,118285,NY-17
NY,New York,18,524373,110007,111866,194615,107885,NY-18
NY,New York,19,553713,100781,110525,200995,141412,NY-19
NY,New York,20,557251,128947,122739,183945,121620,NY-20
NY,New York,21,551303,113239,119095,194087,124882,NY-21
NY,New York,22,539437,114511,111158,184422,129346,NY-22
NY,New York,23,544564,120276,109777,185144,129367,NY-23
NY,New York,24,539797,111698,117482,189709,120908,NY-24
NY,New York,25,543698,117622,123905,181680,120491,NY-25
NY,New York,26,539694,120559,122162,175590,121383,NY-26
NY,New York,27,564383,95372,120176,212938,135897,NY-27
NC,North Carolina,1,566173,132862,125420,183238,124653,NC-1
NC,North Carolina,2,601142,106022,154674,224620,115826,NC-2
NC,North Carolina,3,579504,140107,124968,183311,131118,NC-3
NC,North Carolina,4,624834,160718,165799,199641,98676,NC-4
NC,North Carolina,5,572721,120924,115470,198628,137699,NC-5
NC,North Carolina,6,567392,108516,120375,203804,134697,NC-6
NC,North Carolina,7,613510,120856,130075,204550,158029,NC-7
NC,North Carolina,8,581896,134841,139696,189464,117895,NC-8
NC,North Carolina,9,561804,104526,130550,206102,120626,NC-9
NC,North Carolina,10,585102,107076,129277,208870,139879,NC-10
NC,North Carolina,11,604505,100736,121933,208993,172843,NC-11
NC,North Carolina,12,591843,149353,170864,188532,83094,NC-12
NC,North Carolina,13,579274,119172,126619,204338,129145,NC-13
ND,North Dakota,At-large,567351,139148,139250,172914,116039,ND-At-large
OH,Ohio,1,541695,115385,127214,188655,110441,OH-1
OH,Ohio,2,557971,110038,135103,193722,119108,OH-2
OH,Ohio,3,560963,153956,152437,173350,81220,OH-3
OH,Ohio,4,542874,107261,120580,192235,122798,OH-4
OH,Ohio,5,549171,108332,120658,190308,129873,OH-5
OH,Ohio,6,545803,92786,115894,198331,138792,OH-6
OH,Ohio,7,557024,102049,127143,193475,134357,OH-7
OH,Ohio,8,546406,112205,122391,189359,122451,OH-8
OH,Ohio,9,545749,124360,125503,185628,110258,OH-9
OH,Ohio,10,552514,119030,123728,182094,127662,OH-10
OH,Ohio,11,524803,115904,112868,177785,118246,OH-11
OH,Ohio,12,585940,116111,143636,203572,122621,OH-12
OH,Ohio,13,559931,121208,118910,188243,131570,OH-13
OH,Ohio,14,553668,91212,116235,202802,143419,OH-14
OH,Ohio,15,586092,122586,148238,195592,119676,OH-15
OH,Ohio,16,553316,94003,119356,195092,144865,OH-16
OK,Oklahoma,1,565812,119601,142459,185630,118122,OK-1
OK,Oklahoma,2,564213,111772,124240,187143,141058,OK-2
