year,state,state_abbreviation,county,office,candidate,party,candidate_votes,total_votes,candidate_percent
2016,California,CA,Contra Costa,President,Other,other,30932.0,466175,0.0663527645197619
2016,California,CA,Del Norte,President,Hillary Clinton,democrat,3485.0,9558,0.36461602845783636
2016,California,CA,Del Norte,President,Donald Trump,republican,5134.0,9558,0.5371416614354467
2016,California,CA,Del Norte,President,Other,other,939.0,9558,0.09824231010671688
2016,California,CA,El Dorado,President,Hillary Clinton,democrat,36404.0,93591,0.3889690247993931
2016,California,CA,El Dorado,President,Donald Trump,republican,49247.0,93591,0.5261937579468111
2016,California,CA,El Dorado,President,Other,other,7940.0,93591,0.08483721725379577
2016,California,CA,Fresno,President,Hillary Clinton,democrat,141341.0,282319,0.500642889780709
2016,California,CA,Fresno,President,Donald Trump,republican,124049.0,282319,0.43939302703679173
2016,California,CA,Fresno,President,Other,other,16929.0,282319,0.05996408318249923
2016,California,CA,Glenn,President,Hillary Clinton,democrat,3065.0,9470,0.3236536430834213
2016,California,CA,Glenn,President,Donald Trump,republican,5788.0,9470,0.6111932418162619
2016,California,CA,Glenn,President,Other,other,617.0,9470,0.0651531151003168
2016,California,CA,Humboldt,President,Hillary Clinton,democrat,33200.0,59246,0.5603753839921682
2016,California,CA,Humboldt,President,Donald Trump,republican,18373.0,59246,0.3101137629544611
2016,California,CA,Humboldt,President,Other,other,7673.0,59246,0.12951085305337068
2016,California,CA,Imperial,President,Hillary Clinton,democrat,32667.0,48091,0.6792747083653906
2016,California,CA,Imperial,President,Donald Trump,republican,12704.0,48091,0.26416585223846456
2016,California,CA,Imperial,President,Other,other,2720.0,48091,0.05655943939614481
2016,California,CA,Inyo,President,Hillary Clinton,democrat,3155.0,8086,0.39018055899084836
2016,California,CA,Inyo,President,Donald Trump,republican,4248.0,8086,0.5253524610437794
2016,California,CA,Inyo,President,Other,other,683.0,8086,0.08446697996537225
2016,California,CA,Kern,President,Hillary Clinton,democrat,98689.0,244163,0.4041931005107244
2016,California,CA,Kern,President,Donald Trump,republican,129584.0,244163,0.530727423893055
2016,California,CA,Kern,President,Other,other,15890.0,244163,0.06507947559622056
2016,California,CA,Kings,President,Hillary Clinton,democrat,13617.0,33915,0.40150375939849625
