Year,State,State Abbreviation,District Number,Special Election,Candidate,Party,Candidate Votes,Total Votes,Candidate Percent
2016,Missouri,MO,statewide,False,Johnathan McFarland,other,30743,2802641,0.010969296460017533
2016,Missouri,MO,statewide,False,Steven Wallace,other,1,2802641,3.568063123318327e-07
2016,Missouri,MO,statewide,False,Fred Ryman,other,25407,2802641,0.009065377977414874
2016,Missouri,MO,statewide,False,Jason Kander,democrat,1300200,2802641,0.4639195672938489
2016,Missouri,MO,statewide,False,,other,21,2802641,7.492932558968487e-06
2016,Missouri,MO,statewide,False,Jonathan Dine,other,67738,2802641,0.024169345984733685
2016,Nevada,NV,statewide,False,Joseph J. Heck,republican,495079,1108294,0.44670367249123427
2016,Nevada,NV,statewide,False,"Thomas ""Tom"" Sawyer",other,14208,1108294,0.012819703075176804
2016,Nevada,NV,statewide,False,Catherine Cortez Masto,democrat,521994,1108294,0.4709887448637275
2016,Nevada,NV,statewide,False,Tony Gumina,other,10740,1108294,0.009690569469833817
2016,Nevada,NV,statewide,False,Tom Jones,other,17128,1108294,0.015454383042766631
2016,Nevada,NV,statewide,False,none of the above,other,42257,1108294,0.038127969654261414
2016,Nevada,NV,statewide,False,Jarrod M. Williams,other,6888,1108294,0.006214957402999565
2016,New Hampshire,NH,statewide,False,Kelly Ayotte,republican,353632,739140,0.4784371025786725
2016,New Hampshire,NH,statewide,False,Maggie Hassan,democrat,354649,739140,0.47981302594907593
2016,New Hampshire,NH,statewide,False,scatter,other,520,739140,0.0007035203073842574
2016,New Hampshire,NH,statewide,False,Brian Chabot,other,12597,739140,0.017042779446383636
2016,New Hampshire,NH,statewide,False,Aaron Day,other,17742,739140,0.024003571718483642
2016,New York,NY,statewide,False,Alex Merced,other,48121,7800725,0.006168785593646744
2016,New York,NY,statewide,False,Charles E. Schumer,other,241672,7800725,0.030980710126302363
2016,New York,NY,statewide,False,Wendy Long,republican,1723927,7800725,0.22099574078050438
2016,New York,NY,statewide,False,Blank Vote,other,400943,7800725,0.05139817132381926
2016,New York,NY,statewide,False,Void Vote,other,3474,7800725,0.0004453432213031481
2016,New York,NY,statewide,False,Wendy Long,other,17813,7800725,0.0022835056997907244
2016,New York,NY,statewide,False,Charles E. Schumer,other,45402,7800725,0.005820228248015409
2016,New York,NY,statewide,False,scatter,other,3472,7800725,0.00044508683487752744
2016,New York,NY,statewide,False,Charles E. Schumer,democrat,4784220,7800725,0.613304532591522
2016,New York,NY,statewide,False,Wendy Long,other,267613,7800725,0.0343061702598156
2016,New York,NY,statewide,False,Robin Laverne Wilson,other,113413,7800725,0.01453877684445997
2016,New York,NY,statewide,False,Charles E. Schumer,other,150655,7800725,0.01931294847594294
2016,North Carolina,NC,statewide,False,Deborah K. Ross,democrat,2128165,4691133,0.45365693106548033
2016,North Carolina,NC,statewide,False,Richard Burr,republican,2395376,4691133,0.5106177974489319
2016,North Carolina,NC,statewide,False,Sean Haugh,other,167592,4691133,0.03572527148558781
2016,North Dakota,ND,statewide,False,,other,366,342501,0.0010686100186568799
2016,North Dakota,ND,statewide,False,James Germalic,other,4675,342501,0.013649595183663698
2016,North Dakota,ND,statewide,False,John Hoeven,republican,268788,342501,0.7847801904228017
2016,North Dakota,ND,statewide,False,Eliot Glassheim,democrat,58116,342501,0.1696812564050908
2016,North Dakota,ND,statewide,False,Robert N. Marquette,other,10556,342501,0.03082034796978695
2016,Ohio,OH,statewide,False,,other,111,5374164,2.0654375266553088e-05
2016,Ohio,OH,statewide,False,Scott Rupert,other,77291,5374164,0.014381957826370763
2016,Ohio,OH,statewide,False,Ted Strickland,democrat,1996908,5374164,0.37157556040344136
2016,Ohio,OH,statewide,False,Joseph R. DeMare,other,88246,5374164,0.016420414412362555
2016,Ohio,OH,statewide,False,Tom Connors,other,93041,5374164,0.01731264620878708
2016,Ohio,OH,statewide,False,Rob Portman,republican,3118567,5374164,0.5802887667737717
2016,Oklahoma,OK,statewide,False,Mike Workman,democrat,355911,1448047,0.24578691161267555
2016,Oklahoma,OK,statewide,False,James Lankford,republican,980892,1448047,0.677389615116084
2016,Oklahoma,OK,statewide,False,Sean Braddy,other,40405,1448047,0.027903099830323186
2016,Oklahoma,OK,statewide,False,Robert T. Murphy,other,43421,1448047,0.029985905153631063
2016,Oklahoma,OK,statewide,False,Mark T. Beard,other,27418,1448047,0.018934468287286257
2016,Oregon,OR,statewide,False,Eric Navickas,other,48823,1952478,0.025005659474780253
2016,Oregon,OR,statewide,False,Other,other,2058,1952478,0.0010540451672182735
2016,Oregon,OR,statewide,False,Ron Wyden,democrat,1105119,1952478,0.5660084262153018
2016,Oregon,OR,statewide,False,Shanti S. Lewallen,other,61915,1952478,0.03171098470763819
2016,Oregon,OR,statewide,False,Steven C. Reynolds,other,59516,1952478,0.03048228968521028
2016,Oregon,OR,statewide,False,Mark Callahan,republican,651106,1952478,0.3334767408390773
2016,Oregon,OR,statewide,False,Jim Lindsay,other,23941,1952478,0.012261853910773899
2016,Pennsylvania,PA,statewide,False,Katie McGinty,democrat,2865012,6051856,0.4734104711017579
2016,Pennsylvania,PA,statewide,False,Edward T. Clifford III,other,235142,6051856,0.03885452661134039
2016,Pennsylvania,PA,statewide,False,Patrick J. Toomey,republican,2951702,6051856,0.48773500228690175
2016,South Carolina,SC,statewide,False,Thomas Dixon,democrat,704540,2049893,0.3436959880344974
2016,South Carolina,SC,statewide,False,Bill Bledsoe,other,24830,2049893,0.012112827352452055
2016,South Carolina,SC,statewide,False,Thomas Dixon,other,37610,2049893,0.018347299102928788
2016,South Carolina,SC,statewide,False,Bill Bledsoe,other,12652,2049893,0.006172029466903883
2016,South Carolina,SC,statewide,False,Tim Scott,republican,1241609,2049893,0.6056945411297078
2016,South Carolina,SC,statewide,False,,other,1857,2049893,0.0009059009421467365
2016,South Carolina,SC,statewide,False,Rebel Michael Scarborough,other,11923,2049893,0.005816401148742886
2016,South Carolina,SC,statewide,False,Thomas Dixon,other,14872,2049893,0.007255012822620498
2016,South Dakota,SD,statewide,False,John R. Thune,republican,265516,369656,0.7182786157941438
2016,South Dakota,SD,statewide,False,Jay Williams,democrat,104140,369656,0.28172138420585624
2016,Utah,UT,statewide,False,Mike Lee,republican,760220,1115583,0.6814553466662723
2016,Utah,UT,statewide,False,Bill Barron,other,26166,1115583,0.023455000658848334
2016,Utah,UT,statewide,False,Stoney Fonua,other,27339,1115583,0.02450646881496043
2016,Utah,UT,statewide,False,Misty K. Snow,democrat,301858,1115583,0.270583183859919
2016,Vermont,VT,statewide,False,Void Vote,other,466,320467,0.0014541278821220281
2016,Vermont,VT,statewide,False,Scott Milne,republican,103637,320467,0.3233936723594005
2016,Vermont,VT,statewide,False,Cris Ericson,other,9156,320467,0.028570804482208778
2016,Vermont,VT,statewide,False,Jerry Trudell,other,5223,320467,0.01629808997494282
2016,Vermont,VT,statewide,False,Pete Diamondstone,other,3241,320467,0.010113365806775737
2016,Vermont,VT,statewide,False,Blank Vote,other,6192,320467,0.019321802244848925
2016,Vermont,VT,statewide,False,,other,309,320467,0.0009642178445830615
2016,Vermont,VT,statewide,False,Patrick J. Leahy,democrat,192243,320467,0.5998839194051182
2016,Washington,WA,statewide,False,Chris Vance,republican,1329338,3243317,0.40986989554212555
2016,Washington,WA,statewide,False,Patty Murray,democrat,1913979,3243317,0.5901301044578745
2016,Wisconsin,WI,statewide,False,Russ Feingold,democrat,1380335,2948741,0.46810994929700506
2016,Wisconsin,WI,statewide,False,Philip N. Anderson,other,87531,2948741,0.029684194033996202
2016,Wisconsin,WI,statewide,False,,other,8,2948741,2.7130222695041713e-06
2016,Wisconsin,WI,statewide,False,Ron Johnson,republican,1479471,2948741,0.5017297212607007
2016,Wisconsin,WI,statewide,False,scatter,other,1396,2948741,0.00047342238602847794
2018,Arizona,AZ,statewide,False,Martha McSally,republican,1135200,2384308,0.4761129854028926
2018,Arizona,AZ,statewide,False,Kyrsten Sinema,democrat,1191100,2384308,0.49955794301742895
2018,Arizona,AZ,statewide,False,Angela Green,other,57442,2384308,0.02409168614122001
2018,Arizona,AZ,statewide,False,,other,566,2384308,0.0002373854384584542
2018,California,CA,statewide,False,Dianne Feinstein,democrat,6019422,11113364,0.541638157447196
2018,California,CA,statewide,False,Kevin De Leon,democrat,5093942,11113364,0.458361842552804
2018,Connecticut,CT,statewide,False,Christopher S Murphy,democrat,787685,1386840,0.5679710709238268
2018,Connecticut,CT,statewide,False,Matthew Corey,republican,545717,1386840,0.3934967263707421
2018,Connecticut,CT,statewide,False,Christopher S Murphy,other,37894,1386840,0.027323988347610396
2018,Connecticut,CT,statewide,False,Richard Lion,other,8838,1386840,0.006372761097170546
2018,Connecticut,CT,statewide,False,Jeff Russell,other,6618,1386840,0.004771999653889417
2018,Connecticut,CT,statewide,False,,other,88,1386840,6.345360676069337e-05
2018,Delaware,DE,statewide,False,Thomas R Carper,democrat,217385,362592,0.5995306018886242
2018,Delaware,DE,statewide,False,Robert B Arlett,republican,137127,362592,0.37818539846438975
2018,Delaware,DE,statewide,False,Demitri G Theodoropoulos,other,4170,362592,0.011500529520783691
2018,Delaware,DE,statewide,False,Nadine M Frost,other,3910,362592,0.010783470126202453
2018,Florida,FL,statewide,False,Rick Scott,republican,4099505,8190005,0.5005497554641297
2018,Florida,FL,statewide,False,Bill Nelson,democrat,4089472,8190005,0.49932472568698066
2018,Florida,FL,statewide,False,,other,1028,8190005,0.00012551884888959165
